Pedido;Cliente;Producto;Cantidad;Importe;Fecha
S00016;Gemini Furniture;Pantallas de bloque acústico;3.0;825.0;01/04/2026 11:21
S00016;Gemini Furniture;Silla de oficina negra;3.0;361.5;01/04/2026 11:21
S00014;Gemini Furniture;Pantallas de bloque acústico;4.0;1100.0;01/04/2026 11:21
S00014;Gemini Furniture;Silla de oficina negra;4.0;482.0;01/04/2026 11:21
S00013;Gemini Furniture;Pantallas de bloque acústico;1.0;295.0;01/04/2026 11:21
S00013;Gemini Furniture;Silla de oficina negra;1.0;120.5;01/04/2026 11:21
S00012;Gemini Furniture;Pantallas de bloque acústico;1.0;315.0;01/04/2026 11:21
S00012;Gemini Furniture;Silla de oficina negra;2.0;241.0;01/04/2026 11:21
S00010;Gemini Furniture;Pantallas de bloque acústico;2.0;510.0;01/04/2026 11:21
S00010;Gemini Furniture;Silla de oficina negra;2.0;241.0;01/04/2026 11:21
S00008;Gemini Furniture;Cajón;2.0;221.0;01/04/2026 11:21
S00008;Gemini Furniture;Silla de oficina negra;2.0;241.0;01/04/2026 11:21
S00007;Gemini Furniture;Pantallas de bloque acústico;5.0;1475.0;01/04/2026 11:21
S00007;Gemini Furniture;Sofá de dos plazas;1.0;173.0;01/04/2026 11:21
S00007;Gemini Furniture;Lámpara de oficina;1.0;40.0;01/04/2026 11:21
S00007;Gemini Furniture;Silla de oficina;1.0;18.0;01/04/2026 11:21
S00006;Lumber Inc;Escritorio personalizable;1.0;750.0;01/04/2026 11:21
S00004;Gemini Furniture;Diseño interior virtual;16.0;1200.0;01/04/2026 11:21
S00004;Gemini Furniture;Lámpara de oficina;10.0;450.0;01/04/2026 11:21
S00004;Gemini Furniture;Mesa grande para reuniones;3.0;450.0;01/04/2026 11:21
S00004;Gemini Furniture;Silla de oficina;2.0;140.0;01/04/2026 11:21
S00009;Gemini Furniture;Cajón;3.0;292.5;25/03/2026 11:21
S00009;Gemini Furniture;Silla de oficina negra;3.0;361.5;25/03/2026 11:21
S00015;Gemini Furniture;Pantallas de bloque acústico;4.0;1180.0;18/03/2026 11:21
S00015;Gemini Furniture;Silla de oficina negra;3.0;361.5;18/03/2026 11:21
S00011;Gemini Furniture;Pantallas de bloque acústico;3.0;735.0;11/03/2026 11:21
S00011;Gemini Furniture;Silla de oficina negra;3.0;361.5;11/03/2026 11:21
S00017;Gemini Furniture;Pantallas de bloque acústico;2.0;710.0;04/03/2026 11:21
S00017;Gemini Furniture;Silla de oficina negra;2.0;241.0;04/03/2026 11:21
S00020;Joel Willis;Diseño interior virtual;24.0;1800.0;01/03/2026 11:21
S00020;Joel Willis;Área de casa virtual;30.0;1147.5;01/03/2026 11:21
S00018;Gemini Furniture;Pantallas de bloque acústico;2.0;590.0;25/02/2026 11:21
S00018;Gemini Furniture;Silla de oficina negra;2.0;241.0;25/02/2026 11:21
